age,income,score,visits,segment
43.0,21020.728783139653,713.5945802332502,13,B
50.0,11806.030300479517,554.3712820561518,10,A
42.0,31074.003074363198,650.2486840148509,6,A
30.0,54632.702733721344,704.1921094953842,9,A
41.0,63091.39117106195,684.2237118597707,9,A
30.0,43144.16461012459,564.2638938510604,1,B
50.0,35101.87658580287,640.6495850873181,18,B
32.0,67675.10657742964,632.6219073425059,18,A
35.0,30700.382337253188,691.5728458677202,3,A
44.0,43552.70831233311,684.6075561380921,3,A
65.0,29366.596564032512,620.9133367754561,15,A
30.0,47772.907085508734,733.5898249963542,17,B
38.0,22980.97415834268,586.1693789105204,10,A
47.0,50198.59641130334,694.9818297531594,2,B
32.0,41029.72957433352,654.9533186943968,12,B
43.0,53927.88989594932,668.955888923676,8,B
47.0,37028.99759454776,678.5855538168502,16,B
46.0,16639.26967191039,632.8956353527608,19,A
35.0,26200.71364318258,629.6829857561775,0,A
58.0,22292.83470062543,739.6672521122533,9,A
21.0,31146.538387476987,656.3190973072008,0,B
46.0,49895.47376087371,712.6047060572128,7,B
36.0,29134.368058155367,716.3296856852842,13,A
38.0,18933.23157719505,558.0636802249364,16,A
29.0,45395.17377083439,654.9533186943968,4,A
47.0,29366.596564032512,669.5001984321318,15,B
46.0,31074.003074363198,688.812889003659,14,B
32.0,30679.115308461904,619.7754773793382,3,B
26.0,45338.25129848908,606.9869938477582,8,B
40.0,44805.86385070561,684.2237118597707,13,A
47.0,34485.3523470214,620.8449398188432,8,B
39.0,14950.783271351696,536.5852663872345,13,B
24.0,21643.51050952904,680.083549569809,2,A
29.0,30398.56986017399,753.245100985694,18,B
36.0,50679.98478939822,569.8966853794765,17,A
38.0,21782.449575115097,628.091959556301,12,B
49.0,14329.59555442578,694.7632296492933,17,B
43.0,26606.641654768933,535.8290878251007,8,B
41.0,27813.41748022781,673.8008856948444,0,B
40.0,81264.82113338586,628.3875896530324,12,A
28.0,40368.49231161959,661.9873931189824,3,B
56.0,52575.58451008432,682.87860615207,6,B
58.0,19492.09165620089,610.6675508027613,17,B
29.0,30305.47691573301,533.4289669664355,16,B
46.0,32516.93602686384,533.4289669664355,18,A
28.0,42117.09525883346,710.3084055946946,8,B
63.0,129918.67753909754,683.3977566993611,17,B
28.0,11382.38192536404,676.269437826523,3,A
30.0,29654.38742306639,600.111944859343,12,A
38.0,59926.41661516988,658.1540709898126,8,B
38.0,21022.27925122872,517.5923725451853,1,B
35.0,35397.67588822787,791.7072993814147,12,B
42.0,56891.8686658318,609.4315775657407,16,A
26.0,21782.449575115097,589.1592921542908,8,B
65.0,22892.32038776304,727.8930809075272,8,A
29.0,56121.69880580498,676.9120750951898,19,B
38.0,35674.614339634645,597.9549103675527,15,A
45.0,29106.946734052937,551.7600095342002,17,B
25.0,40202.88830100972,768.7935029387081,13,B
42.0,34376.65259089941,676.9120750951898,14,B
56.0,40482.11689395901,623.9563990784375,9,B
52.0,43596.721707768986,772.5423112480842,15,A
42.0,19177.47663570993,539.8890000737641,4,B
59.0,83612.12342127648,638.4777871956259,6,B
36.0,74524.89204405437,551.7600095342002,2,A
29.0,48015.27553799091,616.492100485997,7,B
40.0,33529.32963566826,679.162759122661,4,B
56.0,37389.19976896003,705.8253471200004,2,B
16.0,36092.49953192988,570.9098280452315,1,B
26.0,22684.54085887313,621.0983659997244,12,A
50.0,17820.999396355895,658.8316580489775,8,B
35.0,31074.003074363198,727.8930809075272,11,A
45.0,70833.90505467798,636.8049779683025,4,A
32.0,32825.41616239653,669.5001984321318,7,A
42.0,20663.199962821946,659.1667549619102,18,A
43.0,119527.42732014687,794.1393558197717,6,A
30.0,31527.07960238661,525.2493411755513,6,B
33.0,41968.70827355246,745.4894857485101,7,A
31.0,25740.3186048579,470.0172977638714,8,A
38.0,20836.208583492076,611.1044695440762,4,A
30.0,34785.28300257958,499.76089872272735,18,B
23.0,100462.18342754536,529.4139481781563,1,A
27.0,89212.86934435049,866.8596421774661,15,A
26.0,30679.115308461904,676.269437826523,8,B
61.0,21202.564065671715,641.5820692599303,12,A
48.0,43898.70137464607,623.9563990784375,4,B
38.0,17546.131151274145,635.1234658251161,4,A
37.0,40979.608155929694,605.3782923208461,0,A
45.0,57839.03155496477,659.4678330710564,12,A
44.0,36967.27121789524,651.1622305550055,11,B
31.0,41968.70827355246,638.4777871956259,13,A
65.0,76817.45870188304,685.1192823511116,15,B
30.0,20543.20481805287,748.6321547282157,6,A
43.0,44662.79728635539,505.1505056015684,18,B
50.0,44127.82666851176,560.8306429545659,17,A
35.0,41320.51602505776,651.1622305550055,15,A
36.0,34660.31582001963,630.488311185813,8,A
42.0,75025.95689010459,427.76045754171423,15,B
37.0,39931.53718930077,676.1474776310419,18,A
36.0,14329.59555442578,680.3074082766716,11,B
61.0,15633.969240562386,729.6392226356254,17,B
36.0,35270.22413593877,560.8306429545659,6,B
36.0,70080.7856112024,691.0559848861744,11,A
